gh,MPs,Rhodb_Redcomponent_percentile50th,Rhodb_filter_Red_component_percentile_90th,Rhodb_filter_Green_component_percentile_50th,Rhodb_filter_Green_ component_percentile_90th,Rhodb_filter_Blue_component_percentile_50th,Rhodb_filter_ Blue_ component_percentile_90th,nilrefilter_Redcomponent_percentile50th,nilre_filter_Red_component_percentile_90th,nilre_filter_Green_component_percentile_50th,nilre_filter_Green_ component_percentile_90th,nilre_filter_Blue_component_percentile_50th,nilre_filter_ Blue_ component_percentile_90th,DAPI_filter_Red_component_percentile_50th,DAPI_filter_ Red_ component_percentile_90th,DAPI_filter_Green_component_percentile_50th,DAPI_filter_ Green_ component_percentile_90th,DAPI_filter_Blue_component_percentile_50th,DAPI_filter_ Blue_ component_percentile_90th,FITC_filter_Red_component_percentile_50th,FITC_filter_ Red_ component_percentile_90th,FITC_filter_Green_component_percentile_50th,FITC_filter_ Green_ component_percentile_90th,FITC_filter_Blue_component_percentile_50th,FITC_filter_ Blue_ component_percentile_90th
92,PETp,0,0,0,0,0,0,209.9205,214.1345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,PLA,115.004,115.0152,88.772,88.7824,0,0,89.479,102.0134,0,0,0,0,0,0,29.3255,31.8883,46.6205,50.7217,0,0,0,0,0,0
94,PP1,0,0,0,0,0,0,1.5945,2.8701,1.759,3.1662,6.926,6.9756,0,0,0,0,0,0,0,0,91.586,93.0652,13.9735,14.2059
95,PP5,0,0,0,0,0,0,21.062,31.9716,0,0,0,0,0,0,0,0,0,0,0.5595,1.0071,146.7095,160.6859,22.55,24.722
96,PS,0,0,0,0,0,0,244.236,249.6064,0,0,0,0,0,0,0,0,0,0,0,0,3.7045,5.9033,0.344,0.6192
97,PSf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.8765,80.9201,121.092,129.1616,0,0,0,0,0,0
98,PVC,69.454,69.454,53.71,53.71,0,0,41.3435,45.5383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,OM,0,0,0,0,0,0,4.313,4.7682,0,0,0,0,0.2265,0.4077,10.2895,10.3899,16.121,16.2706,0,0,0,0,0,0
100,PA,98.192,102.8216,75.8405,79.4041,0,0,106.9725,124.8633,0,0,0,0,0,0,36.1885,36.4425,61.42,64.7008,0,0,0,0,0,0
101,PA6,3.8435,4.0303,3.226,3.3708,0,0,3.738,4.0756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,PE,13.536,19.0312,10.714,14.9676,0,0,70.5225,72.5525,0,0,0,0,0,0,0,0,0,0,0,0,204.616,231.1288,31.502,35.5852
103,PE100,0,0,0,0,0,0,62.1105,64.1557,0,0,0,0,0,0,0,0,0,0,0.2545,0.4581,185.298,189.01,28.545,29.1242
104,PE102,32.0925,36.1297,24.7295,27.6155,0,0,70.269,70.7546,0,0,0,0,0,0,0,0,0,0,0.342,0.6156,172.3255,175.6619,26.5735,27.0787
105,PETmono,4.0215,4.0803,3.2425,3.3077,0,0,0,0,0,0,0,0,0,0,51.17,68.0652,81.585,108.6042,0,0,0,0,0,0
106,PETp,0,0,0,0,0,0,228.7805,236.0857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,PLA,121.7485,121.4649,93.9595,93.7439,0,0,102.4185,105.1085,0,0,0,0,0,0,32.5325,33.6577,51.7465,53.5437,0,0,0,0,0,0
108,PP1,0,0,0,0,0,0,0,0,0,0,7.969,8.0906,0,0,0,0,0,0,0.719,1.2942,117.0515,123.2759,17.945,18.9202
109,PP5,0,0,0,0,0,0,20.257,30.8018,0,0,0,0,0,0,0,0,0,0,0,0,141.0745,148.7245,21.671,22.8574
110,PS,0,0,0,0,0,0,252.7335,253.3179,0,0,0,0,0,0,0,0,0,0,0,0,44.5185,79.3621,6.696,12.0528
111,PSf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.8755,57.1903,84.282,91.1876,0,0,0,0,0,0
112,PVC,34.556,34.556,26.859,26.859,0,0,43.6505,44.8933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,OM,0,0,0,0,0,0,8.643,9.5638,0,0,0,0,0,0,11.1075,12.2231,17.439,19.2174,0,0,0,0,0,0
114,PA,109.5535,111.4251,84.581,86.021,0,0,71.0235,122.7815,0,0,0,0,0,0,38.5675,40.6191,62.539,63.787,0,0,0,0,0,0
115,PA6,3.952,4.2016,3.2925,3.4873,0,0,4.67,4.7844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,PE,5.8955,5.8967,4.8035,4.8087,0,0,56.5075,72.7639,0,0,0,0,0,0,0,0,0,0,0,0,115.393,204.9922,17.593,31.521
117,PE100,0,0,0,0,0,0,54.2045,58.6145,0,0,0,0,0,0,0,0,0,0,0,0,161.222,163.9956,24.7915,25.2335
118,PE102,24.297,27.009,18.9955,21.0839,0,0,45.268,50.468,0,0,0,0,0,0,0,0,0,0,0,0,149.6035,154.7159,23.0395,23.8391
119,PETmono,4.0665,4.3565,3.2065,3.2853,0,0,0,0,0,0,0,0,1.2695,2.2851,38.855,46.7118,61.849,74.4258,0,0,0,0,0,0
120,PETp,0,0,0,0,0,0,226.264,227.1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,PLA,117.2185,117.8981,90.4775,91.0035,0,0,195.7975,199.4147,0,0,0,0,0,0,26.6015,26.6667,42.2625,42.3717,0,0,0,0,0,0
